interval_id,start_time,end_time
24,2019-07-05 05:33:49.040000+00:00,2019-07-05 06:03:49.040000+00:00
25,2019-07-05 06:03:49.040000+00:00,2019-07-05 06:33:49.040000+00:00
26,2019-07-05 06:33:49.040000+00:00,2019-07-05 07:03:49.040000+00:00
27,2019-07-05 07:03:49.040000+00:00,2019-07-05 07:33:49.040000+00:00
28,2019-07-05 07:33:49.040000+00:00,2019-07-05 08:03:49.040000+00:00
29,2019-07-05 08:03:49.040000+00:00,2019-07-05 08:33:49.040000+00:00
30,2019-07-05 08:33:49.040000+00:00,2019-07-05 09:03:49.040000+00:00
31,2019-07-05 09:03:49.040000+00:00,2019-07-05 09:33:49.040000+00:00
32,2019-07-05 09:33:49.040000+00:00,2019-07-05 10:03:49.040000+00:00
33,2019-07-05 10:03:49.040000+00:00,2019-07-05 10:33:49.040000+00:00
34,2019-07-05 10:33:49.040000+00:00,2019-07-05 11:03:49.040000+00:00
35,2019-07-05 11:03:49.040000+00:00,2019-07-05 11:33:49.040000+00:00
36,2019-07-05 11:33:49.040000+00:00,2019-07-05 12:03:49.040000+00:00
37,2019-07-05 12:03:49.040000+00:00,2019-07-05 12:33:49.040000+00:00
38,2019-07-05 12:33:49.040000+00:00,2019-07-05 13:03:49.040000+00:00
39,2019-07-05 13:03:49.040000+00:00,2019-07-05 13:33:49.040000+00:00
40,2019-07-05 13:33:49.040000+00:00,2019-07-05 14:03:49.040000+00:00
41,2019-07-05 14:03:49.040000+00:00,2019-07-05 14:33:49.040000+00:00
42,2019-07-05 14:33:49.040000+00:00,2019-07-05 15:03:49.040000+00:00
43,2019-07-05 15:03:49.040000+00:00,2019-07-05 15:33:49.040000+00:00
44,2019-07-05 15:33:49.040000+00:00,2019-07-05 16:03:49.040000+00:00
45,2019-07-05 16:03:49.040000+00:00,2019-07-05 16:33:49.040000+00:00
46,2019-07-05 16:33:49.040000+00:00,2019-07-05 17:03:49.040000+00:00
47,2019-07-05 17:03:49.040000+00:00,2019-07-05 17:33:49.040000+00:00
48,2019-07-05 17:33:49.040000+00:00,2019-07-05 18:03:49.040000+00:00
49,2019-07-05 18:03:49.040000+00:00,2019-07-05 18:33:49.040000+00:00
50,2019-07-05 18:33:49.040000+00:00,2019-07-05 19:03:49.040000+00:00
51,2019-07-05 19:03:49.040000+00:00,2019-07-05 19:33:49.040000+00:00
52,2019-07-05 19:33:49.040000+00:00,2019-07-05 20:03:49.040000+00:00
53,2019-07-05 20:03:49.040000+00:00,2019-07-05 20:33:49.040000+00:00
54,2019-07-05 20:33:49.040000+00:00,2019-07-05 21:03:49.040000+00:00
55,2019-07-05 21:03:49.040000+00:00,2019-07-05 21:33:49.040000+00:00
56,2019-07-05 21:33:49.040000+00:00,2019-07-05 22:03:49.040000+00:00
57,2019-07-05 22:03:49.040000+00:00,2019-07-05 22:33:49.040000+00:00
58,2019-07-05 22:33:49.040000+00:00,2019-07-05 23:03:49.040000+00:00
59,2019-07-05 23:03:49.040000+00:00,2019-07-05 23:33:49.040000+00:00
60,2019-07-05 23:33:49.040000+00:00,2019-07-06 00:03:49.040000+00:00
61,2019-07-06 00:03:49.040000+00:00,2019-07-06 00:33:49.040000+00:00
62,2019-07-06 00:33:49.040000+00:00,2019-07-06 01:03:49.040000+00:00
63,2019-07-06 01:03:49.040000+00:00,2019-07-06 01:33:49.040000+00:00
64,2019-07-06 01:33:49.040000+00:00,2019-07-06 02:03:49.040000+00:00
65,2019-07-06 02:03:49.040000+00:00,2019-07-06 02:33:49.040000+00:00
66,2019-07-06 02:33:49.040000+00:00,2019-07-06 03:03:49.040000+00:00
67,2019-07-06 03:03:49.040000+00:00,2019-07-06 03:33:49.040000+00:00
68,2019-07-06 03:33:49.040000+00:00,2019-07-06 04:03:49.040000+00:00
69,2019-07-06 04:03:49.040000+00:00,2019-07-06 04:33:49.040000+00:00
70,2019-07-06 04:33:49.040000+00:00,2019-07-06 05:03:49.040000+00:00
71,2019-07-06 05:03:49.040000+00:00,2019-07-06 05:33:49.040000+00:00
72,2019-07-06 05:33:49.040000+00:00,2019-07-06 06:03:49.040000+00:00
73,2019-07-06 06:03:49.040000+00:00,2019-07-06 06:33:49.040000+00:00
74,2019-07-06 06:33:49.040000+00:00,2019-07-06 07:03:49.040000+00:00
75,2019-07-06 07:03:49.040000+00:00,2019-07-06 07:33:49.040000+00:00
76,2019-07-06 07:33:49.040000+00:00,2019-07-06 08:03:49.040000+00:00
77,2019-07-06 08:03:49.040000+00:00,2019-07-06 08:33:49.040000+00:00
78,2019-07-06 08:33:49.040000+00:00,2019-07-06 09:03:49.040000+00:00
79,2019-07-06 09:03:49.040000+00:00,2019-07-06 09:33:49.040000+00:00
80,2019-07-06 09:33:49.040000+00:00,2019-07-06 10:03:49.040000+00:00
81,2019-07-06 10:03:49.040000+00:00,2019-07-06 10:33:49.040000+00:00
82,2019-07-06 10:33:49.040000+00:00,2019-07-06 11:03:49.040000+00:00
83,2019-07-06 11:03:49.040000+00:00,2019-07-06 11:33:49.040000+00:00
84,2019-07-06 11:33:49.040000+00:00,2019-07-06 12:03:49.040000+00:00
85,2019-07-06 12:03:49.040000+00:00,2019-07-06 12:33:49.040000+00:00
86,2019-07-06 12:33:49.040000+00:00,2019-07-06 13:03:49.040000+00:00
87,2019-07-06 13:03:49.040000+00:00,2019-07-06 13:19:53.040000+00:00
